Personal_ID,Cost Center,Company Code,Anonymized WBSL1 Descp,WBSL1 Value,WBSL4 Value,Fiscal Year,Hours,Work Date,Business Descp,Week,Job level,Business Line Descp,Theme
286,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,0,,,,,,
286,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,0,,,,,,
286,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,1/3/2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
288,,,Project 60,LPEX1026-01,LPEX1026-01-01-01-1000,2021,0,,,,,,
275,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,2,3/3/2021,TAX,,,Indirect Tax,Missing
282,,,Project 58,LPEX1088-01,LPEX1088-01-01-01-1000,2021,8,4/3/2021,CONSULTING,,,Finance & Performance,Endurable Society
289,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,1,1/3/2021,ENABLING AREA,,,Business Operations (NSE),Other
286,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,17-02-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
286,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,1/2/2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
279,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,,,,,,
273,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,0,,,,,,
274,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,0,,,,,,
290,,,Project 61,LPEX1041-01,LPEX1041-01-01-01-1000,2021,2,1/3/2021,TAX,,,Centralized Tax & Legal,Worldclass
291,,,Project 62,LPE05260-01,LPE05260-01-01-01-1000,2021,1,,,,,,
271,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,4,5/3/2021,AUDIT,,,Integrated Services,Endurable Society
292,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,3,2/3/2021,TAX,,,Indirect Tax,Missing
293,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,0,,,,,,
294,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1004,2021,2,1/3/2021,FINANCIAL ADVISORY (NSE),,,M&A Transaction Services,Missing
295,,,Project 1,LPEX1004-01,LPEX1004-01-01-01-1000,2021,4,2/3/2021,CONSULTING,,,HR Transformation (NSE),Worldclass
280,,,Project 58,LPEX1088-01,LPEX1088-01-01-01-1000,2021,1,5/3/2021,CONSULTING,,,Finance & Performance,Endurable Society
296,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,4,1/3/2021,CONSULTING,,,Customer & Applied Design,Endurable Society
297,,,Project 56,LPEX1069-01,LPEX1069-01-01-01-1000,2021,1,3/3/2021,AUDIT,,,Integrated Services,Endurable Society
298,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,1,5/3/2021,RISK ADVISORY (NSE),,,Crisis & Resillience,Other
283,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1000,2021,1,3/2/2021,TAX,,,Business Tax (NSE),Sustainability
299,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,1,4/3/2021,FINANCIAL ADVISORY (NSE),,,I&CP E. & Real Estate,Other
300,,,Project 64,LPEX1016-01,LPEX1016-01-01-01-1000,2021,2,5/3/2021,CONSULTING,,,Workforce Transformation (NSE),Worldclass
301,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,0,,,,,,
292,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,2,1/3/2021,TAX,,,Indirect Tax,Missing
302,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,3,2/3/2021,RISK ADVISORY (NSE),,,Digital / AI Controls / Algorithms,Other
294,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1004,2021,0,,,,,,
303,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,7,1/3/2021,AUDIT,,,Integrated Services,Endurable Society
298,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,1,1/3/2021,RISK ADVISORY (NSE),,,Crisis & Resillience,Other
304,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,2,1/3/2021,AUDIT,,,Assurance Services,Other
305,,,Project 5,LPEX1013-01,LPEX1013-01-01-01-1000,2021,4,5/3/2021,CONSULTING,,,Systems Engineering (NSE),Endurable Society
298,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,2,4/3/2021,RISK ADVISORY (NSE),,,Crisis & Resillience,Other
298,,,Project 65,LPE05173-01,LPE05173-01-01-01-1000,2021,4,2/3/2021,RISK ADVISORY (NSE),,,Crisis & Resillience,Endurable Society
306,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,0,,,,,,
272,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1000,2021,0,,,,,,
279,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,2,2/3/2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
302,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,2,3/3/2021,RISK ADVISORY (NSE),,,Digital / AI Controls / Algorithms,Other
303,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,8,5/3/2021,AUDIT,,,Integrated Services,Endurable Society
280,,,Project 58,LPEX1088-01,LPEX1088-01-01-01-1000,2021,1,3/3/2021,CONSULTING,,,Finance & Performance,Endurable Society
297,,,Project 56,LPEX1069-01,LPEX1069-01-01-01-1000,2021,0,,,,,,
307,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,2,,,,,,
308,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,1,5/3/2021,CONSULTING,,,Operations Transformation (NSE),Other
298,,,Project 65,LPE05173-01,LPE05173-01-01-01-1000,2021,3,,,,,,
309,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1004,2021,1,1/3/2021,RISK ADVISORY (NSE),,,Internal Audit,Missing
305,,,Project 5,LPEX1013-01,LPEX1013-01-01-01-1000,2021,2,4/3/2021,CONSULTING,,,Systems Engineering (NSE),Endurable Society
310,,,Project 3,LPEX1009-01,LPEX1009-01-01-01-1000,2021,4,3/3/2021,AUDIT,,,Assurance Services,Other
279,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,,,,,,
311,,,Project 64,LPEX1016-01,LPEX1016-01-01-01-1000,2021,2,1/3/2021,CONSULTING,,,Technology Strategy & Transformation NSE,Worldclass
304,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,2,2/3/2021,AUDIT,,,Assurance Services,Other
273,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,0,,,,,,
305,,,Project 5,LPEX1013-01,LPEX1013-01-01-01-1000,2021,2,3/3/2021,CONSULTING,,,Systems Engineering (NSE),Endurable Society
292,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,1,,,,,,
312,,,Project 2,GAAX3528-01,GAAX3528-01-01-01-1000,2021,1,,,,,,
298,,,Project 65,LPE05173-01,LPE05173-01-01-01-1000,2021,4,,,,,,
303,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,5,2/3/2021,AUDIT,,,Integrated Services,Endurable Society
313,,,Project 65,LPE05173-01,LPE05173-01-01-01-1000,2021,1,4/3/2021,RISK ADVISORY (NSE),,,Crisis & Resillience,Endurable Society
314,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,1,2/3/2021,AUDIT,,,Integrated Services,Endurable Society
313,,,Project 65,LPE05173-01,LPE05173-01-01-01-1000,2021,1,5/3/2021,RISK ADVISORY (NSE),,,Crisis & Resillience,Endurable Society
315,,,Project 2,GAAX3528-01,GAAX3528-01-01-01-1000,2021,4,4/3/2021,CONSULTING,,,Organization Transformation,Missing
315,,,Project 2,GAAX3528-01,GAAX3528-01-01-01-1000,2021,4,3/3/2021,CONSULTING,,,Organization Transformation,Missing
315,,,Project 2,GAAX3528-01,GAAX3528-01-01-01-1000,2021,4,2/3/2021,CONSULTING,,,Organization Transformation,Missing
315,,,Project 2,GAAX3528-01,GAAX3528-01-01-01-1000,2021,4,1/3/2021,CONSULTING,,,Organization Transformation,Missing
284,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1008,2021,2,23-02-2021,RISK ADVISORY (NSE),,,Internal Audit,Missing
275,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,0,,,,,,
307,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,2,24-02-2021,AUDIT,,,Integrated Services,Endurable Society
316,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1007,2021,5,11/2/2021,CONSULTING,,,Organization Transformation,Missing
284,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1008,2021,2,25-02-2021,RISK ADVISORY (NSE),,,Internal Audit,Missing
284,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1008,2021,2,5/3/2021,RISK ADVISORY (NSE),,,Internal Audit,Missing
316,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1007,2021,8,10/2/2021,CONSULTING,,,Organization Transformation,Missing
317,,,Project 66,LPEX1081-01,LPEX1081-01-01-01-1000,2021,3,8/3/2021,ENABLING AREA,,,Talent/HR,Worldclass
307,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,1,23-02-2021,AUDIT,,,Integrated Services,Endurable Society
275,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,0,,,,,,
316,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1007,2021,5,12/2/2021,CONSULTING,,,Organization Transformation,Missing
284,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1008,2021,2,24-02-2021,RISK ADVISORY (NSE),,,Internal Audit,Missing
318,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,2,1/3/2021,FINANCIAL ADVISORY (NSE),,,I&CP E. & Real Estate,Other
273,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,0,,,,,,
317,,,Project 66,LPEX1081-01,LPEX1081-01-01-01-1000,2021,1,23-02-2021,ENABLING AREA,,,Talent/HR,Worldclass
286,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,,,,,,
275,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,0,,,,,,
316,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1007,2021,5,8/2/2021,CONSULTING,,,Organization Transformation,Missing
316,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1007,2021,5,9/2/2021,CONSULTING,,,Organization Transformation,Missing
317,,,Project 66,LPEX1081-01,LPEX1081-01-01-01-1000,2021,6,22-02-2021,ENABLING AREA,,,Talent/HR,Worldclass
273,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,0,,,,,,
319,,,Project 64,LPEX1016-01,LPEX1016-01-01-01-1000,2021,2,5/3/2021,CONSULTING,,,Technology Strategy & Transformation NSE,Worldclass
274,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,1,,,,,,
320,,,Project 67,LPEX1066-01,LPEX1066-01-01-01-1000,2021,1,4/3/2021,CONSULTING,,,Digital Customer (NSE),Endurable Society
271,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,2,,,,,,
320,,,Project 67,LPEX1066-01,LPEX1066-01-01-01-1000,2021,1,5/3/2021,CONSULTING,,,Digital Customer (NSE),Endurable Society
275,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,0,,,,,,
271,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,1,,,,,,
273,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,0,,,,,,
274,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,0,,,,,,
285,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,1,8/3/2021,ENABLING AREA,,,Executive & Management,Other
273,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,0,,,,,,
321,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,8,9/3/2021,CONSULTING,,,Technology Strategy & Transformation NSE,Endurable Society
319,,,Project 64,LPEX1016-01,LPEX1016-01-01-01-1000,2021,2,10/3/2021,CONSULTING,,,Technology Strategy & Transformation NSE,Worldclass
322,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,8,8/3/2021,CONSULTING,,,Organization Transformation,Endurable Society
293,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,1,8/3/2021,TAX,,,Global Employer Services,Missing
321,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,8,8/3/2021,CONSULTING,,,Technology Strategy & Transformation NSE,Endurable Society
293,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,1,9/3/2021,TAX,,,Global Employer Services,Missing
323,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,2,9/3/2021,FINANCIAL ADVISORY (NSE),,,Corporate Financial Advisory,Other
292,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,0,,,,,,
321,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,8,10/3/2021,CONSULTING,,,Technology Strategy & Transformation NSE,Endurable Society
322,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,8,9/3/2021,CONSULTING,,,Organization Transformation,Endurable Society
322,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,8,10/3/2021,CONSULTING,,,Organization Transformation,Endurable Society
324,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,1,,,,,,
